,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
172,10,sqrt,1,5,150,1.0,2.6032968044281004,1
173,10,sqrt,1,5,200,1.0,3.174213409423828,1
174,10,sqrt,1,10,10,1.0,0.125006103515625,1
175,10,sqrt,1,10,25,1.0,0.35236515998840334,1
176,10,sqrt,1,10,50,1.0,0.7851167678833008,1
177,10,sqrt,1,10,100,1.0,1.3467775344848634,1
178,10,sqrt,1,10,150,1.0,2.528077745437622,1
179,10,sqrt,1,10,200,1.0,3.2210177898406984,1
180,10,sqrt,2,2,10,1.0,0.13570709228515626,1
181,10,sqrt,2,2,25,1.0,0.21866140365600586,1
182,10,sqrt,2,2,50,1.0,0.6059865951538086,1
183,10,sqrt,2,2,100,1.0,1.1702834606170653,1
184,10,sqrt,2,2,150,1.0,1.7991156101226806,1
185,10,sqrt,2,2,200,1.0,2.82636079788208,1
186,10,sqrt,2,5,10,1.0,0.1549002170562744,1
187,10,sqrt,2,5,25,1.0,0.3041262626647949,1
188,10,sqrt,2,5,50,1.0,0.6140793323516845,1
189,10,sqrt,2,5,100,1.0,1.7126280307769775,1
190,10,sqrt,2,5,150,1.0,2.0612005233764648,1
191,10,sqrt,2,5,200,1.0,3.0338976860046385,1
192,10,sqrt,2,10,10,1.0,0.11103658676147461,1
193,10,sqrt,2,10,25,1.0,0.3389153003692627,1
194,10,sqrt,2,10,50,1.0,0.7652174949645996,1
195,10,sqrt,2,10,100,1.0,1.343379020690918,1
196,10,sqrt,2,10,150,1.0,1.8147731304168702,1
197,10,sqrt,2,10,200,1.0,2.387901020050049,1
198,10,sqrt,4,2,10,1.0,0.15574254989624023,1
199,10,sqrt,4,2,25,0.9996923076923077,0.3530609607696533,460
200,10,sqrt,4,2,50,1.0,0.6436119079589844,1
201,10,sqrt,4,2,100,1.0,1.2551644325256348,1
202,10,sqrt,4,2,150,1.0,1.7993226528167725,1
203,10,sqrt,4,2,200,1.0,2.3192980766296385,1
204,10,sqrt,4,5,10,1.0,0.13340511322021484,1
205,10,sqrt,4,5,25,1.0,0.2698258399963379,1
206,10,sqrt,4,5,50,1.0,0.5361824989318847,1
207,10,sqrt,4,5,100,1.0,1.3269723415374757,1
208,10,sqrt,4,5,150,1.0,1.6597349643707275,1
209,10,sqrt,4,5,200,1.0,2.4311681747436524,1
