,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
52,gini,5,log2,5,5,0.9706132527980103,0.010713148117065429,248
53,gini,5,log2,5,10,0.9723049683188252,0.021039485931396484,245
54,gini,10,,1,2,0.9998461538461537,0.021250391006469728,76
55,gini,10,,1,5,0.9998461538461537,0.019650936126708984,76
56,gini,10,,1,10,0.9998461538461537,0.02340984344482422,76
57,gini,10,,2,2,1.0,0.02105870246887207,1
58,gini,10,,2,5,1.0,0.02270684242248535,1
59,gini,10,,2,10,0.9995384615384616,0.03863458633422852,108
60,gini,10,,5,2,0.9989230769230769,0.03137354850769043,143
61,gini,10,,5,5,0.9989230769230769,0.03394551277160644,143
62,gini,10,,5,10,0.9989230769230769,0.024392366409301758,143
63,gini,10,sqrt,1,2,0.9990766862083259,0.011142253875732422,128
64,gini,10,sqrt,1,5,0.9970756202996387,0.021985912322998048,201
65,gini,10,sqrt,1,10,0.9967692307692306,0.015392541885375977,204
66,gini,10,sqrt,2,2,0.9983076923076922,0.009266376495361328,176
67,gini,10,sqrt,2,5,0.9981537277195475,0.009434652328491212,183
68,gini,10,sqrt,2,10,0.9984615384615385,0.012017774581909179,172
69,gini,10,sqrt,5,2,0.9958453248060639,0.009686851501464843,210
70,gini,10,sqrt,5,5,0.996768875466335,0.009711503982543945,205
71,gini,10,sqrt,5,10,0.9929216557114942,0.009911823272705077,216
72,gini,10,log2,1,2,0.9952301770592763,0.011337566375732421,211
73,gini,10,log2,1,5,0.9989227216201811,0.009531736373901367,158
74,gini,10,log2,1,10,0.9984610647243443,0.00982074737548828,175
75,gini,10,log2,2,2,0.995845561674661,0.011286306381225585,209
76,gini,10,log2,2,5,0.9978460354118553,0.011064291000366211,189
77,gini,10,log2,2,10,0.9995381062355658,0.008952569961547852,114
78,gini,10,log2,5,2,0.9960000000000001,0.023984193801879883,208
79,gini,10,log2,5,5,0.9947686385977379,0.02008347511291504,214
80,gini,10,log2,5,10,0.997384141647421,0.021209239959716797,192
81,gini,15,,1,2,1.0,0.04046049118041992,1
82,gini,15,,1,5,1.0,0.02070918083190918,1
83,gini,15,,1,10,0.9998461538461537,0.04141378402709961,76
84,gini,15,,2,2,1.0,0.03377518653869629,1
85,gini,15,,2,5,1.0,0.019940185546875,1
86,gini,15,,2,10,0.9995384615384616,0.046610450744628905,108
87,gini,15,,5,2,0.9989230769230769,0.055918550491333006,143
88,gini,15,,5,5,0.9989230769230769,0.04032778739929199,143
89,gini,15,,5,10,0.9989230769230769,0.03899698257446289,143
90,gini,15,sqrt,1,2,1.0,0.018973922729492186,1
91,gini,15,sqrt,1,5,1.0,0.008745479583740234,1
92,gini,15,sqrt,1,10,1.0,0.010835075378417968,1
93,gini,15,sqrt,2,2,0.9998461538461537,0.007999181747436523,76
94,gini,15,sqrt,2,5,1.0,0.014631271362304688,1
95,gini,15,sqrt,2,10,0.9996921892580091,0.011005449295043945,107
96,gini,15,sqrt,5,2,0.9986150293124888,0.0161313533782959,170
97,gini,15,sqrt,5,5,0.9978457985432581,0.011626482009887695,190
98,gini,15,sqrt,5,10,0.9989229584887784,0.030114173889160156,157
99,gini,15,log2,1,2,1.0,0.011044931411743165,1
100,gini,15,log2,1,5,1.0,0.010996723175048828,1
101,gini,15,log2,1,10,0.9998461538461537,0.012660646438598632,76
102,gini,15,log2,2,2,0.9987692307692309,0.009840869903564453,160
103,gini,15,log2,2,5,0.9998461538461537,0.00906825065612793,76
104,gini,15,log2,2,10,0.9995381062355658,0.008864641189575195,114
105,gini,15,log2,5,2,0.9990769230769232,0.02086925506591797,125
106,gini,15,log2,5,5,0.9993842600817195,0.0112762451171875,120
107,gini,15,log2,5,10,0.9990765677740274,0.007216405868530273,129
108,gini,20,,1,2,1.0,0.022433376312255858,1
109,gini,20,,1,5,1.0,0.039534473419189455,1
