,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
48,0.01,400,l1,liblinear,0.908138686563629,0.13508915901184082,201
49,0.01,400,l1,saga,0.9173714691774737,1.0927069187164307,196
50,0.01,400,l1,lbfgs,,0.010411882400512695,226
51,0.01,400,l1,newton-cg,,0.005707979202270508,226
52,0.01,400,l2,liblinear,0.905216675549239,0.10150251388549805,206
53,0.01,400,l2,saga,0.9039853141469768,1.9577523231506349,211
54,0.01,400,l2,lbfgs,0.9038314679931307,0.2098609447479248,216
55,0.01,400,l2,newton-cg,0.9038314679931307,0.11723217964172364,216
56,0.01,400,elasticnet,liblinear,,0.014330673217773437,226
57,0.01,400,elasticnet,saga,,0.006882810592651367,226
58,0.01,400,elasticnet,lbfgs,,0.003853893280029297,226
59,0.01,400,elasticnet,newton-cg,,0.004204177856445312,226
60,0.01,400,,liblinear,,0.004523754119873047,226
61,0.01,400,,saga,0.9581465032273346,3.6047213554382322,106
62,0.01,400,,lbfgs,0.9610706460590988,0.4268635749816895,11
63,0.01,400,,newton-cg,0.9606091075975602,0.1823803424835205,38
64,0.01,500,l1,liblinear,0.908138686563629,0.136299467086792,201
65,0.01,500,l1,saga,0.9173714691774737,1.2934605121612548,196
66,0.01,500,l1,lbfgs,,0.0048980712890625,226
67,0.01,500,l1,newton-cg,,0.0031055450439453126,226
68,0.01,500,l2,liblinear,0.905216675549239,0.08821358680725097,206
69,0.01,500,l2,saga,0.9039853141469768,1.4284613132476807,211
70,0.01,500,l2,lbfgs,0.9038314679931307,0.1443690299987793,216
71,0.01,500,l2,newton-cg,0.9038314679931307,0.12652769088745117,216
72,0.01,500,elasticnet,liblinear,,0.005615091323852539,226
73,0.01,500,elasticnet,saga,,0.011992263793945312,226
74,0.01,500,elasticnet,lbfgs,,0.010646390914916991,226
75,0.01,500,elasticnet,newton-cg,,0.004168844223022461,226
76,0.01,500,,liblinear,,0.0077988624572753905,226
77,0.01,500,,saga,0.9590696985847101,3.3924660682678223,90
78,0.01,500,,lbfgs,0.9610706460590988,0.49213314056396484,11
79,0.01,500,,newton-cg,0.9606091075975602,0.21607570648193358,38
80,0.1,100,l1,liblinear,0.9472217682240777,0.5810390472412109,170
81,0.1,100,l1,saga,0.9469141943506839,0.9224188804626465,175
82,0.1,100,l1,lbfgs,,0.0033955097198486326,226
83,0.1,100,l1,newton-cg,,0.007274627685546875,226
84,0.1,100,l2,liblinear,0.9370665008586487,0.08319587707519531,191
85,0.1,100,l2,saga,0.9392209391839877,0.6061329364776611,188
86,0.1,100,l2,lbfgs,0.9382976253923137,0.1771608352661133,190
87,0.1,100,l2,newton-cg,0.9401442529756618,0.14958901405334474,176
88,0.1,100,elasticnet,liblinear,,0.0067714214324951175,226
89,0.1,100,elasticnet,saga,,0.004243612289428711,226
90,0.1,100,elasticnet,lbfgs,,0.005058908462524414,226
91,0.1,100,elasticnet,newton-cg,,0.005277824401855469,226
92,0.1,100,,liblinear,,0.006059074401855468,226
93,0.1,100,,saga,0.9541450820157518,0.785085391998291,146
94,0.1,100,,lbfgs,0.9616857938058863,0.16411757469177246,1
95,0.1,100,,newton-cg,0.9606091075975602,0.18632497787475585,38
96,0.1,200,l1,liblinear,0.9472217682240777,0.6507985591888428,170
97,0.1,200,l1,saga,0.947991117427607,1.5560581684112549,169
98,0.1,200,l1,lbfgs,,0.005936431884765625,226
99,0.1,200,l1,newton-cg,,0.0036965370178222655,226
100,0.1,200,l2,liblinear,0.9370665008586487,0.10433382987976074,191
101,0.1,200,l2,saga,0.9392208207496893,1.2611687183380127,189
102,0.1,200,l2,lbfgs,0.9401442529756618,0.18621115684509276,176
103,0.1,200,l2,newton-cg,0.9401442529756618,0.09978928565979003,176
104,0.1,200,elasticnet,liblinear,,0.0030500411987304686,226
105,0.1,200,elasticnet,saga,,0.0035323619842529295,226
106,0.1,200,elasticnet,lbfgs,,0.002966642379760742,226
107,0.1,200,elasticnet,newton-cg,,0.0038759708404541016,226
108,0.1,200,,liblinear,,0.003864765167236328,226
109,0.1,200,,saga,0.9573769171552081,1.7964910030364991,126
110,0.1,200,,lbfgs,0.9615321845206373,0.4356803894042969,6
111,0.1,200,,newton-cg,0.9606091075975602,0.41292428970336914,38
112,0.1,300,l1,liblinear,0.9472217682240777,1.0171926975250245,170
113,0.1,300,l1,saga,0.9481449635814532,4.2220744609832765,168
114,0.1,300,l1,lbfgs,,0.013548040390014648,226
115,0.1,300,l1,newton-cg,,0.005521440505981445,226
116,0.1,300,l2,liblinear,0.9370665008586487,0.18619718551635742,191
117,0.1,300,l2,saga,0.9395286314916801,3.8488155364990235,187
118,0.1,300,l2,lbfgs,0.9401442529756618,0.33616175651550295,176
119,0.1,300,l2,newton-cg,0.9401442529756618,0.11576852798461915,176
120,0.1,300,elasticnet,liblinear,,0.007903242111206054,226
121,0.1,300,elasticnet,saga,,0.004428434371948242,226
122,0.1,300,elasticnet,lbfgs,,0.005472660064697266,226
123,0.1,300,elasticnet,newton-cg,,0.004573154449462891,226
124,0.1,300,,liblinear,,0.00442972183227539,226
125,0.1,300,,saga,0.9576849647657962,2.7009846210479735,116
126,0.1,300,,lbfgs,0.9610706460590988,0.7908830165863037,11
127,0.1,300,,newton-cg,0.9606091075975602,0.30087981224060056,38
128,0.1,400,l1,liblinear,0.9472217682240777,0.7690181732177734,170
129,0.1,400,l1,saga,0.9482989281695978,5.618969821929932,167
130,0.1,400,l1,lbfgs,,0.014446783065795898,226
131,0.1,400,l1,newton-cg,,0.005844020843505859,226
132,0.1,400,l2,liblinear,0.9370665008586487,0.20557470321655275,191
133,0.1,400,l2,saga,0.9398365606679695,5.157529544830322,186
134,0.1,400,l2,lbfgs,0.9401442529756618,0.2936375141143799,176
