,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
131,gini,20,log2,2,10,1.0,0.020390892028808595,1
132,gini,20,log2,5,2,0.9989227216201811,0.012775039672851563,160
133,gini,20,log2,5,5,0.9989227216201811,0.012631988525390625,160
134,gini,20,log2,5,10,0.9989227216201811,0.011441802978515625,160
135,entropy,,,1,2,1.0,0.014349269866943359,1
136,entropy,,,1,5,1.0,0.013393592834472657,1
137,entropy,,,1,10,1.0,0.01810765266418457,1
138,entropy,,,2,2,1.0,0.02380647659301758,1
139,entropy,,,2,5,1.0,0.02031364440917969,1
140,entropy,,,2,10,1.0,0.023107528686523438,1
141,entropy,,,5,2,0.9995381062355658,0.013964557647705078,129
142,entropy,,,5,5,0.9995381062355658,0.01964879035949707,129
143,entropy,,,5,10,0.9995381062355658,0.015233707427978516,129
144,entropy,,sqrt,1,2,1.0,0.012663602828979492,1
145,entropy,,sqrt,1,5,1.0,0.012106990814208985,1
146,entropy,,sqrt,1,10,1.0,0.01284327507019043,1
147,entropy,,sqrt,2,2,1.0,0.011723661422729492,1
148,entropy,,sqrt,2,5,1.0,0.012015628814697265,1
149,entropy,,sqrt,2,10,1.0,0.016332149505615234,1
150,entropy,,sqrt,5,2,0.9989227216201811,0.011293983459472657,160
151,entropy,,sqrt,5,5,0.9989227216201811,0.011713409423828125,160
152,entropy,,sqrt,5,10,0.9993846153846153,0.014035701751708984,150
153,entropy,,log2,1,2,1.0,0.012677192687988281,1
154,entropy,,log2,1,5,1.0,0.012242841720581054,1
155,entropy,,log2,1,10,1.0,0.019651460647583007,1
156,entropy,,log2,2,2,1.0,0.022112083435058594,1
157,entropy,,log2,2,5,1.0,0.020386123657226564,1
158,entropy,,log2,2,10,1.0,0.01957554817199707,1
159,entropy,,log2,5,2,0.9989227216201811,0.022223520278930663,160
160,entropy,,log2,5,5,0.9993846153846153,0.01812744140625,150
161,entropy,,log2,5,10,0.9989227216201811,0.01245412826538086,160
162,entropy,5,,1,2,0.9961534908509504,0.012517642974853516,212
163,entropy,5,,1,5,0.9961534908509504,0.013094091415405273,212
164,entropy,5,,1,10,0.9961534908509504,0.013401317596435546,212
165,entropy,5,,2,2,0.9961534908509504,0.02356376647949219,212
166,entropy,5,,2,5,0.9961534908509504,0.023666572570800782,212
167,entropy,5,,2,10,0.9961534908509504,0.011988639831542969,212
168,entropy,5,,5,2,0.9961534908509504,0.012678909301757812,212
169,entropy,5,,5,5,0.9961534908509504,0.012851905822753907,212
170,entropy,5,,5,10,0.9961534908509504,0.011997509002685546,212
171,entropy,5,sqrt,1,2,0.9584562089181027,0.01207876205444336,268
172,entropy,5,sqrt,1,5,0.9644562089181028,0.013578081130981445,260
173,entropy,5,sqrt,1,10,0.9629160892994613,0.010558700561523438,263
174,entropy,5,sqrt,2,2,0.9670721857049802,0.01821889877319336,252
175,entropy,5,sqrt,2,5,0.9613750222064311,0.011671066284179688,264
176,entropy,5,sqrt,2,10,0.976918339551134,0.02953763008117676,243
177,entropy,5,sqrt,5,2,0.9775330135607273,0.026606416702270506,242
178,entropy,5,sqrt,5,5,0.9756891099662461,0.013170719146728516,245
179,entropy,5,sqrt,5,10,0.9787670989518565,0.02732224464416504,239
180,entropy,5,log2,1,2,0.9606120684550244,0.016843891143798827,266
181,entropy,5,log2,1,5,0.964918339551134,0.027300071716308594,258
182,entropy,5,log2,1,10,0.9666106472434418,0.01585111618041992,255
183,entropy,5,log2,2,2,0.9695373956297744,0.010355710983276367,250
184,entropy,5,log2,2,5,0.981690531177829,0.010348749160766602,237
