,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
135,,,2,5,100,1.0,2.227476406097412,1
136,,,2,5,150,1.0,3.2167747020721436,1
137,,,2,5,200,1.0,4.335749721527099,1
138,,,2,10,10,1.0,0.20231118202209472,1
139,,,2,10,25,0.9995384615384616,0.6323424816131592,464
140,,,2,10,50,1.0,1.2246488094329835,1
141,,,2,10,100,1.0,2.2280156135559084,1
142,,,2,10,150,1.0,3.70023455619812,1
143,,,2,10,200,1.0,4.7598542213439945,1
144,,,4,2,10,1.0,0.2586952209472656,1
145,,,4,2,25,1.0,0.5559818267822265,1
146,,,4,2,50,1.0,1.1427968978881835,1
147,,,4,2,100,1.0,2.5695705890655516,1
148,,,4,2,150,1.0,3.4920262813568117,1
149,,,4,2,200,1.0,4.690852642059326,1
150,,,4,5,10,0.9995381062355658,0.27916932106018066,466
151,,,4,5,25,1.0,0.5644784927368164,1
152,,,4,5,50,1.0,1.2526483058929443,1
153,,,4,5,100,1.0,2.45709433555603,1
154,,,4,5,150,1.0,3.4034053325653075,1
155,,,4,5,200,1.0,4.822670316696167,1
156,,,4,10,10,1.0,0.19971466064453125,1
157,,,4,10,25,1.0,0.7384384632110595,1
158,,,4,10,50,1.0,1.2544276237487793,1
159,,,4,10,100,0.9995381062355658,2.642241334915161,466
160,,,4,10,150,1.0,4.82119517326355,1
161,,,4,10,200,1.0,7.0622639656066895,1
162,10,sqrt,1,2,10,1.0,0.21842579841613768,1
163,10,sqrt,1,2,25,1.0,0.8519128322601318,1
164,10,sqrt,1,2,50,1.0,1.069737195968628,1
165,10,sqrt,1,2,100,1.0,1.7819766044616698,1
166,10,sqrt,1,2,150,1.0,1.8950810432434082,1
167,10,sqrt,1,2,200,1.0,2.710416650772095,1
168,10,sqrt,1,5,10,1.0,0.13639025688171386,1
169,10,sqrt,1,5,25,1.0,0.4051518440246582,1
170,10,sqrt,1,5,50,1.0,0.5808403491973877,1
171,10,sqrt,1,5,100,1.0,1.191739845275879,1
172,10,sqrt,1,5,150,1.0,1.6834197044372559,1
173,10,sqrt,1,5,200,1.0,2.3524980545043945,1
174,10,sqrt,1,10,10,1.0,0.182739782333374,1
175,10,sqrt,1,10,25,1.0,0.3750737190246582,1
176,10,sqrt,1,10,50,1.0,0.5051380157470703,1
177,10,sqrt,1,10,100,1.0,1.1590207099914551,1
178,10,sqrt,1,10,150,1.0,1.8472749710083007,1
179,10,sqrt,1,10,200,1.0,2.156505584716797,1
180,10,sqrt,2,2,10,1.0,0.13950157165527344,1
181,10,sqrt,2,2,25,1.0,0.2914419651031494,1
182,10,sqrt,2,2,50,1.0,0.5378906726837158,1
183,10,sqrt,2,2,100,1.0,1.057610559463501,1
